Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
2009,17.34,35.85,43398,Diesel,Individual,Manual,0
2022,4.03,5.9,61865,Petrol,Dealer,Automatic,0
2017,1.29,2.64,103175,Petrol,Dealer,Automatic,0
2013,,28.46,121201,Petrol,Dealer,Manual,1
2010,32.19,35.05,164480,Petrol,Individual,Manual,0
2023,23.52,39.99,196297,Diesel,Dealer,Automatic,2
2009,8.55,17.67,79812,Petrol,Individual,Automatic,0
2021,0.95,1.32,106468,Petrol,Dealer,Manual,0
2013,17.92,24.5,135572,Petrol,Individual,Manual,1
2013,0.9,1.78,52351,Diesel,Dealer,Manual,0
2023,2.8,5.51,144618,Petrol,Dealer,Manual,1
2006,16.06,17.01,185125,Diesel,Individual,Manual,1
2010,11.97,22.42,41526,Petrol,Individual,Manual,1
2005,12.65,14.69,105374,Diesel,Individual,Manual,2
2023,,29.51,170225,Petrol,Individual,Manual,1
2004,2.37,3.71,1229,Petrol,Individual,Automatic,1
2014,4.54,8.08,183710,Diesel,Dealer,Manual,3
2008,28.95,35.07,156797,Diesel,Dealer,Manual,0
2004,7.04,7.96,165749,Petrol,Individual,Manual,2
2023,17.59,32.35,182201,Diesel,Trustmark Dealer,Automatic,0
2003,1.66,3.68,32879,Diesel,Individual,Manual,0
2014,9.96,20.96,97654,Petrol,Individual,Manual,1
2014,8.1,9.69,136789,Diesel,Dealer,Automatic,0
2019,4.07,6.37,79771,Petrol,Individual,Automatic,0
2012,13.6,28.78,6189,Diesel,Individual,Manual,0
2018,27.3,46.49,128029,Petrol,Individual,Manual,0
2017,2.51,3.68,87859,Petrol,Individual,Manual,0
2017,18.81,21.66,122383,Diesel,Dealer,Manual,0
2021,26.86,35.67,1570160,Petrol,,Manual,0
2014,,23.67,106498,Petrol,Dealer,Manual,1
2022,19.74,40.52,133937,Diesel,Individual,Manual,1
2005,,9.8,122389,Diesel,Dealer,Manual,0
2007,21.19,48.02,136612,Petrol,Individual,Automatic,2
2021,,19.87,189513,Petrol,Individual,Automatic,0
2009,11.01,17.74,169654,Diesel,Dealer,Manual,0
2023,,43.86,80132,Petrol,Individual,Automatic,2
2011,19.47,28.63,81922,Petrol,Individual,Automatic,0
2009,20.78,26.31,151978,Petrol,Individual,Manual,3
2020,26.12,36.62,152874,Petrol,Individual,Manual,0
2006,,29.41,65761,Petrol,Individual,Manual,1
2016,6.69,8.96,58276,Diesel,Dealer,Automatic,0
2020,28.37,34.04,104793,Diesel,Dealer,Manual,2
2011,5.91,7.54,105389,Petrol,Dealer,Manual,0
2023,20.5,40.49,70721,Petrol,Dealer,Manual,0
2004,21.23,49.5,37994,Petrol,Individual,Automatic,0
2022,17.48,19.49,91016,Petrol,Dealer,Manual,0
2017,20.97,22.79,119569,Petrol,Trustmark Dealer,Manual,0
2009,2.62,3.28,8692,,Individual,Manual,3
2014,1.33,1.67,190468,Petrol,Individual,Manual,2
2010,25.32,46.15,127728,Diesel,Individual,Manual,1
2017,5.1,7.3,152071,Diesel,,Manual,1
2005,21.6,22.84,135229,Petrol,Individual,Manual,2
2016,35.66,40.95,166945,Petrol,Trustmark Dealer,Manual,2
2019,25.3,,170016,Diesel,Dealer,Manual,2
2006,14.96,26.45,165833,Diesel,Dealer,Manual,2
2020,19.11,28.69,80241,CNG,Dealer,Manual,0
2010,21.05,33.81,86016,Petrol,Individual,Manual,0
2006,29.06,48.11,163750,CNG,Dealer,Manual,1
2004,22.74,30.53,93235,Petrol,Individual,Manual,0
2008,11.54,28.41,96106,Petrol,Individual,Manual,0
2012,1.4,1.71,151354,Petrol,,Automatic,1
2006,4.01,4.97,187080,,Individual,Automatic,1
2020,25.08,29.28,13793,Diesel,Dealer,Manual,1
2014,40.45,46.88,158614,Petrol,Dealer,Manual,3
2004,30.93,43.47,87169,,Dealer,Automatic,1
2012,40.75,49.15,171886,Petrol,Individual,Manual,0
2006,18.02,26.86,129929,CNG,,Automatic,0
2016,36.57,39.61,16637,Petrol,Dealer,Automatic,0
2018,21.3,42.18,86331,Diesel,Dealer,Automatic,0
2017,29.59,32.75,95058,Petrol,Individual,Manual,0
2010,9.54,17.6,75774,Petrol,Individual,Manual,0
2016,10.97,24.03,131479,Diesel,Dealer,Manual,1
2010,27.61,43.04,181829,Petrol,Individual,Manual,1
2023,11.54,15.63,110422,Petrol,Individual,Manual,1
2018,24.38,46.26,49179,Diesel,Dealer,Manual,2
2015,8.65,,122170,Petrol,Dealer,Manual,0
2020,,37.73,141328,Petrol,Dealer,Automatic,0
2017,17.27,31.9,55947,Petrol,Individual,Manual,0
2023,27.13,37.73,132589,Petrol,Dealer,Manual,2
2015,13.16,22.43,126334,Diesel,Individual,Automatic,0
2011,,46.7,88138,Petrol,Individual,Manual,0
2017,24.53,31.99,15676,Petrol,Individual,Manual,0
2015,8.97,15.13,185031,Diesel,Dealer,Automatic,1
2003,30.57,32.28,142853,Diesel,Trustmark Dealer,Manual,0
2009,10.69,15.05,85192,Diesel,Individual,Automatic,2
2011,13.13,15.39,101612,Petrol,Individual,Automatic,0
2003,16.44,20.58,65758,Petrol,Trustmark Dealer,Manual,0
2014,37.17,42.77,157750,Petrol,Individual,Manual,0
2010,,25.51,50962,Petrol,Individual,Manual,0
2013,17.9,34.27,46528,Petrol,Individual,Automatic,0
2021,13.5,20.21,140340,Diesel,Dealer,Manual,0
2019,12.09,13.92,150765,Diesel,Trustmark Dealer,Manual,0
2010,,47.78,107212,Petrol,Individual,Manual,0
2005,28.56,,157673,Petrol,Dealer,Automatic,0
2005,21.99,46.76,49139,Petrol,,Automatic,0
2003,5.44,10.97,145299,Diesel,Individual,Automatic,0
2007,,8.2,44701,,Dealer,Manual,0
2012,31.02,42.94,96238,Petrol,Individual,Manual,0
2009,31.08,34.36,72925,Diesel,Dealer,Manual,1
2011,5.48,10.14,63425,Petrol,Individual,Automatic,1
2009,10.0,14.2,110724,Petrol,Dealer,Manual,0
2011,,40.23,46229,Petrol,Individual,Manual,0
2010,17.36,23.24,86478,Petrol,Dealer,Automatic,2
2014,15.84,33.86,26268,Petrol,Dealer,Manual,0
2004,11.13,16.6,63448,Petrol,Dealer,Automatic,1
2003,14.96,19.68,198940,Petrol,Individual,Manual,0
2018,,49.54,143301,Petrol,Dealer,Manual,1
2007,,13.13,46292,Diesel,Individual,Automatic,1
2005,,25.82,7300,Petrol,Individual,Automatic,0
2014,32.6,42.38,40934,Diesel,,Manual,0
2010,10.75,12.72,157892,Petrol,Individual,Manual,2
2005,19.2,21.35,66873,Petrol,Dealer,Automatic,1
2003,26.39,31.14,168134,Petrol,Dealer,Automatic,0
2005,23.0,24.58,181560,,Dealer,Automatic,0
2007,14.69,23.52,145517,Petrol,Individual,Manual,0
2017,10.92,,2867,Petrol,Individual,Manual,1
2016,12.36,29.75,95117,Diesel,Dealer,Automatic,0
2005,20.45,31.59,198102,Diesel,Individual,Manual,2
2003,25.03,,136714,Diesel,Dealer,Manual,0
2007,,4.45,131230,Petrol,Dealer,Manual,1
2016,17.46,31.92,103190,Petrol,Individual,Manual,0
2009,32.56,47.71,9352,Petrol,Dealer,Manual,1
2011,21.02,27.51,134108,Diesel,Individual,Manual,0
2017,25.36,36.05,196164,CNG,Trustmark Dealer,Manual,0
2017,15.57,28.28,15722,Diesel,Dealer,Manual,2
2012,35.93,42.88,49324,Petrol,Individual,Automatic,0
2015,23.06,46.55,148258,Petrol,Trustmark Dealer,Manual,0
2021,9.0,10.03,60085,Petrol,Dealer,Manual,0
2009,20.71,22.41,109003,Petrol,Dealer,Automatic,1
2019,12.16,20.23,129501,Petrol,Dealer,Manual,0
2022,12.66,20.86,92487,,Individual,Manual,0
2006,5.78,7.15,190969,Petrol,,Automatic,0
2007,26.6,40.87,3281,Petrol,Individual,Automatic,0
2009,1.14,2.75,97231,Petrol,Individual,Manual,0
2015,24.35,26.88,174900,Diesel,Individual,Automatic,0
2017,21.29,33.43,133673,Petrol,Dealer,Manual,0
2013,5.72,,176859,Petrol,Trustmark Dealer,Manual,0
2006,32.03,45.39,110976,Diesel,Dealer,Automatic,0
2015,21.9,42.09,133371,Petrol,Dealer,Manual,0
2009,12.36,,59054,Petrol,Trustmark Dealer,Automatic,0
2021,14.81,21.15,146866,Diesel,Individual,Manual,1
